Location_ID,Location_Name_ZH,Adm1_Name_EN,Adm1_Name_ZH,Latitude,Longitude
101010100,北京,Beijing,北京市,39.9050,116.4053
101020100,上海,Shanghai,上海市,31.2317,121.4726
101030100,天津,Tianjin,天津市,39.1256,117.1902
101040100,重庆,Chongqing,重庆市,29.5638,106.5505
101050201,齐齐哈尔,Heilongjiang,黑龙江省,47.3421,123.9579
101050301,牡丹江,Heilongjiang,黑龙江省,44.5830,129.6186
101050401,佳木斯,Heilongjiang,黑龙江省,46.8096,130.3616
101050501,绥化,Heilongjiang,黑龙江省,46.6374,126.9929
101050601,黑河,Heilongjiang,黑龙江省,50.2496,127.4990
101050701,大兴安岭,Heilongjiang,黑龙江省,50.4113,124.1179
101050801,伊春,Heilongjiang,黑龙江省,47.7269,128.8993
101050901,大庆,Heilongjiang,黑龙江省,46.5907,125.1127
101060101,长春,Jilin,吉林省,43.8170,125.3236
101060201,吉林,Jilin,吉林省,43.8436,126.5530
101060301,延吉,Jilin,吉林省,42.9070,129.5158
101060401,四平,Jilin,吉林省,43.1703,124.3708
101060501,通化,Jilin,吉林省,41.7212,125.9365
101060601,白城,Jilin,吉林省,45.6190,122.8411
101060701,辽源,Jilin,吉林省,42.9027,125.1453
101060801,松原,Jilin,吉林省,45.1182,124.8236
101060901,白山,Jilin,吉林省,41.9425,126.4278
101070101,沈阳,Liaoning,辽宁省,41.6776,123.4647
101070201,大连,Liaoning,辽宁省,38.9146,121.6186
101070301,鞍山,Liaoning,辽宁省,41.1106,122.9956
101070401,抚顺,Liaoning,辽宁省,41.8813,123.9571
101070501,本溪,Liaoning,辽宁省,41.4868,123.6850
101070601,丹东,Liaoning,辽宁省,40.0007,124.3544
101070701,锦州,Liaoning,辽宁省,41.1193,121.1357
101070801,营口,Liaoning,辽宁省,40.6674,122.2352
101070901,阜新,Liaoning,辽宁省,42.0220,121.6701
101080101,呼和浩特,Inner Mongolia Autonomous Region,内蒙古自治区,40.8421,111.7488
101080201,包头,Inner Mongolia Autonomous Region,内蒙古自治区,40.6213,109.9532
101080301,乌海,Inner Mongolia Autonomous Region,内蒙古自治区,39.6737,106.8256
101080401,集宁,Inner Mongolia Autonomous Region,内蒙古自治区,41.0007,113.1690
101080501,通辽,Inner Mongolia Autonomous Region,内蒙古自治区,43.6174,122.2631
101080601,赤峰,Inner Mongolia Autonomous Region,内蒙古自治区,42.2569,118.8876
101080701,鄂尔多斯,Inner Mongolia Autonomous Region,内蒙古自治区,39.6087,109.7825
101080801,临河,Inner Mongolia Autonomous Region,内蒙古自治区,40.7571,107.4170
101080901,锡林浩特,Inner Mongolia Autonomous Region,内蒙古自治区,43.9443,116.0919
101090101,石家庄,Hebei,河北省,38.0455,114.5025
101090201,保定,Hebei,河北省,38.8677,115.4823
101090301,张家口,Hebei,河北省,40.8119,114.8841
